Codigo INE;Municipio;Provincia;Comunidad Autonoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
49162;Porto;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,16722222;-6,899444444
49163;Pozoantiguo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,59527778;-5,434444444
49164;Pozuelo de Tábara;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,78527778;-5,891666667
49165;Prado;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,92055556;-5,418888889
49166;Puebla de Sanabria;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,05527778;-6,633611111
49167;Pueblica de Valverde;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,91916667;-5,898333333
49168;Quintanilla del Monte;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,86777778;-5,349444444
49169;Quintanilla del Olmo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,90511111;-5,406486111
49170;Quintanilla de Urz;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,03286111;-5,848694444
49171;Quiruelas de Vidriales;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,02055556;-5,830555556
49172;Rabanales;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,74166667;-6,275833333
49173;Rábano de Aliste;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,745;-6,433055556
49174;Requejo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,03055556;-6,7425
49175;Revellinos;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,89138889;-5,568611111
49176;Riofrío de Aliste;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,81527778;-6,177222222
49177;Rionegro del Puente;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,00666667;-6,226388889
49178;Roales del Pan;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,55166667;-5,772777778
49179;Robleda-Cervantes;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,08361111;-6,591388889
49180;Roelos de Sayago;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,2519464;-6,1714959
49181;Rosinos de la Requejada;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,0891869;-6,5343079
49183;Salce;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,2713023;-6,216758
49184;Samir de los Caños;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,67305556;-6,163611111
49185;San Agustín del Pozo;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,88555556;-5,594166667
49186;San Cebrián de Castro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,70527778;-5,756388889
49187;San Cristóbal de Entreviñas;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;42,0468353;-5,6345483
49188;San Esteban del Molar;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,93720833;-5,551791667
49190;San Martín de Valderaduey;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,81361111;-5,471666667
49191;San Miguel de la Ribera;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,33166667;-5,5775
49192;San Miguel del Valle;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,02944444;-5,496944444
49193;San Pedro de Ceque;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,04305556;-6,073611111
49194;San Pedro de la Nave-Almendra;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,59166667;-5,9225
49197;Santa Clara de Avedillo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,33944444;-5,676944444
49199;Santa Colomba de las Monjas;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,95916667;-5,686111111
49200;Santa Cristina de la Polvorosa;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,99988889;-5,713194444
49201;Santa Croya de Tera;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,9836704;-5,9751519
49202;Santa Eufemia del Barco;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,67777778;-5,899444444
49203;Santa María de la Vega;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,08555556;-5,809722222
49204;Santa María de Valverde;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,93527778;-5,934444444
49205;Santibáñez de Tera;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,98476389;-5,922736111
49206;Santibáñez de Vidriales;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,07173611;-6,014638889
