Código INE;Municipio;Provincia;Comunidad Autónoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
18913;Zagra;Granada;Andalucía;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;37.25;-4.17
18914;Valderrubio;Granada;Andalucía;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.23;-3.82
18915;Domingo Pérez de Granada;Granada;Andalucía;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.5;-3.51
19000;Guadalajara;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.63;-3.17
19001;Abánades;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.89;-2.48
19002;Ablanque;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.9;-2.23
19003;Adobes;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.68;-1.68
19004;Alaminos;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.86;-2.72
19005;Alarilla;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.85;-3.11
19006;Albalate de Zorita;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;40.31;-2.84
19007;Albares;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.3;-3.01
19008;Albendiego;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.23;-3.05
19009;Alcocer;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.47;-2.61
19010;Alcolea de las Peñas;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.21;-2.78
19011;Alcolea del Pinar;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.04;-2.47
19013;Alcoroches;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.63;-1.75
19015;Aldeanueva de Guadalajara;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.68;-3.05
19016;Algar de Mesa;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.14;-1.96
19017;Algora;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.96;-2.67
19018;Alhóndiga;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.53;-2.82
19019;Alique;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.59;-2.64
19020;Almadrones;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.9;-2.77
19021;Almoguera;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.3;-2.98
19022;Almonacid de Zorita;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.33;-2.85
19023;Alocén;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.58;-2.75
19024;Alovera;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;4;40.6;-3.25
19027;Alustante;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.62;-1.66
19031;Angón;Guadalajara;Castilla-La Mancha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.07;-2.85
19032;Anguita;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.03;-2.37
19033;Anquela del Ducado;Guadalajara;Castilla-La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.97;-2.13
